;maribritolima;google;evdokimovds;diggapi;webfrase;digg_updates;klout;Diggnation;DohaFilm;noscoworking;socialbakers;frohiky;rfdaf;juliocesarfort;sp0rkbomb;antoninocencio;richardpbacon;LeddHQ;HouseofMarleyUK;lcavallaro;BBJNewsroom;CrowdStrike;pedro_leite;teocg;cassiomelo;Bitcasa;goodbyebuddy;carnitos;addictgirls;CDNews;daveszt;jerryjamesstone;multitaskgirl;janrezab;DailyBowser;meuvestidopreto;perolascom;SENNAmovie;garethheyes;DocGeeks
maribritolima;0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9785841760856632;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9785841760856632;1.0;1.0;0.9892920880428316;0.9675973315449508;0.9785841760856632;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
google;1.0;0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
evdokimovds;1.0;1.0;0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
diggapi;1.0;1.0;1.0;0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
webfrase;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0;0.9892920880428316;0.9568894195877824;0.9892920880428316;0.9892920880428316;0.9749943588586432;0.9857329966579264;0.9785841760856632;0.9821637073034367;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9641627458403187;0.9857329966579264;0.9892920880428316;0.9641627458403187;0.9892920880428316;0.9892920880428316;0.9821637073034367;0.9857329966579264;0.9892920880428316;0.9892920880428316;0.9785841760856632;0.9568894195877824;0.9892920880428316;0.9892920880428316;0.9641627458403187;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9785841760856632;0.9892920880428316;0.9273701511075032
digg_updates;1.0;1.0;1.0;1.0;0.9892920880428316;0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
klout;0.9675973315449508;0.9675973315449508;0.9675973315449508;0.9675973315449508;0.9568894195877824;0.9675973315449508;0;0.9675973315449508;0.9675973315449508;0.9532996023607624;0.9640382401600455;0.9568894195877824;0.9604689508055559;0.9675973315449508;0.9675973315449508;0.9675973315449508;0.9675973315449508;0.9675973315449508;0.9675973315449508;0.9424679893424377;0.9640382401600455;0.9675973315449508;0.9424679893424377;0.9675973315449508;0.9675973315449508;0.9604689508055559;0.9640382401600455;0.9675973315449508;0.9675973315449508;0.9568894195877824;0.9351946630899014;0.9675973315449508;0.9675973315449508;0.9424679893424377;0.9675973315449508;0.9675973315449508;0.9675973315449508;0.9568894195877824;0.9675973315449508;0.9056753946096224
Diggnation;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
DohaFilm;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
noscoworking;0.9785841760856632;0.9857022708158115;0.9857022708158115;0.9857022708158115;0.9749943588586432;0.9857022708158115;0.9532996023607624;0.9857022708158115;0.9857022708158115;0;0.9821431794309063;0.9749943588586432;0.9785738900764168;0.9857022708158115;0.9857022708158115;0.9857022708158115;0.9857022708158115;0.9857022708158115;0.9857022708158115;0.9605729286132987;0.9821431794309063;0.9857022708158115;0.9605729286132987;0.9857022708158115;0.9857022708158115;0.9785738900764168;0.9785841760856632;0.9857022708158115;0.9857022708158115;0.9749943588586432;0.9532996023607624;0.9785841760856632;0.9857022708158115;0.9605729286132987;0.9857022708158115;0.9857022708158115;0.9857022708158115;0.9749943588586432;0.9857022708158115;0.9237803338804832
socialbakers;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9857329966579264;0.9964409086150946;0.9640382401600455;0.9964409086150946;0.9964409086150946;0.9821431794309063;0;0.9857329966579264;0.9893125278756999;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9713115664125819;0.9928818172301894;0.9964409086150946;0.9713115664125819;0.9964409086150946;0.9964409086150946;0.9893125278756999;0.9928818172301894;0.9964409086150946;0.9964409086150946;0.9857329966579264;0.9640382401600455;0.9964409086150946;0.9964409086150946;0.9713115664125819;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9857329966579264;0.9964409086150946;0.9345189716797664
frohiky;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9785841760856632;0.9892920880428316;0.9568894195877824;0.9892920880428316;0.9892920880428316;0.9749943588586432;0.9857329966579264;0;0.9821637073034367;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9641627458403187;0.9857329966579264;0.9892920880428316;0.9641627458403187;0.9892920880428316;0.9892920880428316;0.9821637073034367;0.9857329966579264;0.9892920880428316;0.9892920880428316;0.9785841760856632;0.9568894195877824;0.9892920880428316;0.9892920880428316;0.9641627458403187;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9785841760856632;0.9892920880428316;0.9273701511075032
rfdaf;0.9928716192606052;0.9928716192606052;0.9928716192606052;0.9928716192606052;0.9821637073034367;0.9928716192606052;0.9604689508055559;0.9928716192606052;0.9928716192606052;0.9785738900764168;0.9893125278756999;0.9821637073034367;0;0.9928716192606052;0.9928716192606052;0.9928716192606052;0.9928716192606052;0.9928716192606052;0.9928716192606052;0.9677422770580922;0.9893125278756999;0.9928716192606052;0.9677422770580922;0.9928716192606052;0.9928716192606052;0.9857432385212104;0.9893125278756999;0.9928716192606052;0.9928716192606052;0.9821637073034367;0.9604689508055559;0.9928716192606052;0.9928716192606052;0.9677422770580922;0.9928716192606052;0.9928716192606052;0.9928716192606052;0.9821637073034367;0.9928716192606052;0.9309496823252768
juliocesarfort;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
sp0rkbomb;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
antoninocencio;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
richardpbacon;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
LeddHQ;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
HouseofMarleyUK;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
lcavallaro;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.9641627458403187;0.974870657797487;0.9424679893424377;0.974870657797487;0.974870657797487;0.9605729286132987;0.9713115664125819;0.9641627458403187;0.9677422770580922;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0;0.9713115664125819;0.974870657797487;0.9497413155949741;0.974870657797487;0.974870657797487;0.9677422770580922;0.9713115664125819;0.974870657797487;0.974870657797487;0.9641627458403187;0.9424679893424377;0.974870657797487;0.974870657797487;0.9497413155949741;0.974870657797487;0.974870657797487;0.974870657797487;0.9641627458403187;0.974870657797487;0.9129487208621587
BBJNewsroom;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9857329966579264;0.9964409086150946;0.9640382401600455;0.9964409086150946;0.9964409086150946;0.9821431794309063;0.9928818172301894;0.9857329966579264;0.9893125278756999;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9713115664125819;0;0.9964409086150946;0.9713115664125819;0.9964409086150946;0.9964409086150946;0.9893125278756999;0.9928818172301894;0.9964409086150946;0.9964409086150946;0.9857329966579264;0.9640382401600455;0.9964409086150946;0.9964409086150946;0.9713115664125819;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9857329966579264;0.9964409086150946;0.9345189716797664
CrowdStrike;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
pedro_leite;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.9641627458403187;0.974870657797487;0.9424679893424377;0.974870657797487;0.974870657797487;0.9605729286132987;0.9713115664125819;0.9641627458403187;0.9677422770580922;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.9497413155949741;0.9713115664125819;0.974870657797487;0;0.974870657797487;0.974870657797487;0.9677422770580922;0.9713115664125819;0.974870657797487;0.974870657797487;0.9641627458403187;0.9424679893424377;0.974870657797487;0.974870657797487;0.9497413155949741;0.974870657797487;0.974870657797487;0.974870657797487;0.9641627458403187;0.974870657797487;0.9129487208621587
teocg;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
cassiomelo;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
Bitcasa;0.9928716192606052;0.9928716192606052;0.9928716192606052;0.9928716192606052;0.9821637073034367;0.9928716192606052;0.9604689508055559;0.9928716192606052;0.9928716192606052;0.9785738900764168;0.9893125278756999;0.9821637073034367;0.9857432385212104;0.9928716192606052;0.9928716192606052;0.9928716192606052;0.9928716192606052;0.9928716192606052;0.9928716192606052;0.9677422770580922;0.9893125278756999;0.9928716192606052;0.9677422770580922;0.9928716192606052;0.9928716192606052;0;0.9893125278756999;0.9928716192606052;0.9928716192606052;0.9821637073034367;0.9604689508055559;0.9928716192606052;0.9928716192606052;0.9677422770580922;0.9928716192606052;0.9928716192606052;0.9928716192606052;0.9821637073034367;0.9928716192606052;0.9309496823252768
goodbyebuddy;0.9785841760856632;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9857329966579264;0.9964409086150946;0.9640382401600455;0.9964409086150946;0.9964409086150946;0.9785841760856632;0.9928818172301894;0.9857329966579264;0.9893125278756999;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9713115664125819;0.9928818172301894;0.9964409086150946;0.9713115664125819;0.9964409086150946;0.9964409086150946;0.9893125278756999;0;0.9964409086150946;0.9964409086150946;0.9857329966579264;0.9640382401600455;0.9785841760856632;0.9964409086150946;0.9713115664125819;0.9964409086150946;0.9964409086150946;0.9964409086150946;0.9857329966579264;0.9964409086150946;0.9345189716797664
carnitos;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
addictgirls;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
CDNews;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9785841760856632;0.9892920880428316;0.9568894195877824;0.9892920880428316;0.9892920880428316;0.9749943588586432;0.9857329966579264;0.9785841760856632;0.9821637073034367;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9641627458403187;0.9857329966579264;0.9892920880428316;0.9641627458403187;0.9892920880428316;0.9892920880428316;0.9821637073034367;0.9857329966579264;0.9892920880428316;0.9892920880428316;0;0.9568894195877824;0.9892920880428316;0.9892920880428316;0.9641627458403187;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9785841760856632;0.9892920880428316;0.9273701511075032
daveszt;0.9675973315449508;0.9675973315449508;0.9675973315449508;0.9675973315449508;0.9568894195877824;0.9675973315449508;0.9351946630899014;0.9675973315449508;0.9675973315449508;0.9532996023607624;0.9640382401600455;0.9568894195877824;0.9604689508055559;0.9675973315449508;0.9675973315449508;0.9675973315449508;0.9675973315449508;0.9675973315449508;0.9675973315449508;0.9424679893424377;0.9640382401600455;0.9675973315449508;0.9424679893424377;0.9675973315449508;0.9675973315449508;0.9604689508055559;0.9640382401600455;0.9675973315449508;0.9675973315449508;0.9568894195877824;0;0.9675973315449508;0.9675973315449508;0.9424679893424377;0.9675973315449508;0.9675973315449508;0.9675973315449508;0.9568894195877824;0.9675973315449508;0.9056753946096224
jerryjamesstone;0.9785841760856632;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9785841760856632;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9785841760856632;1.0;1.0;0.9892920880428316;0.9675973315449508;0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
multitaskgirl;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
janrezab;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.9641627458403187;0.974870657797487;0.9424679893424377;0.974870657797487;0.974870657797487;0.9605729286132987;0.9713115664125819;0.9641627458403187;0.9677422770580922;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.974870657797487;0.9497413155949741;0.9713115664125819;0.974870657797487;0.9497413155949741;0.974870657797487;0.974870657797487;0.9677422770580922;0.9713115664125819;0.974870657797487;0.974870657797487;0.9641627458403187;0.9424679893424377;0.974870657797487;0.974870657797487;0;0.974870657797487;0.974870657797487;0.974870657797487;0.9641627458403187;0.974870657797487;0.9129487208621587
DailyBowser;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;0;1.0;1.0;0.9892920880428316;1.0;0.9380780630646716
meuvestidopreto;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;0;1.0;0.9892920880428316;1.0;0.9380780630646716
perolascom;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;0;0.9892920880428316;1.0;0.9380780630646716
SENNAmovie;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9785841760856632;0.9892920880428316;0.9568894195877824;0.9892920880428316;0.9892920880428316;0.9749943588586432;0.9857329966579264;0.9785841760856632;0.9821637073034367;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9892920880428316;0.9641627458403187;0.9857329966579264;0.9892920880428316;0.9641627458403187;0.9892920880428316;0.9892920880428316;0.9821637073034367;0.9857329966579264;0.9892920880428316;0.9892920880428316;0.9785841760856632;0.9568894195877824;0.9892920880428316;0.9892920880428316;0.9641627458403187;0.9892920880428316;0.9892920880428316;0.9892920880428316;0;0.9892920880428316;0.9273701511075032
garethheyes;1.0;1.0;1.0;1.0;0.9892920880428316;1.0;0.9675973315449508;1.0;1.0;0.9857022708158115;0.9964409086150946;0.9892920880428316;0.9928716192606052;1.0;1.0;1.0;1.0;1.0;1.0;0.974870657797487;0.9964409086150946;1.0;0.974870657797487;1.0;1.0;0.9928716192606052;0.9964409086150946;1.0;1.0;0.9892920880428316;0.9675973315449508;1.0;1.0;0.974870657797487;1.0;1.0;1.0;0.9892920880428316;0;0.9380780630646716
DocGeeks;0.9380780630646716;0.9380780630646716;0.9380780630646716;0.9380780630646716;0.9273701511075032;0.9380780630646716;0.9056753946096224;0.9380780630646716;0.9380780630646716;0.9237803338804832;0.9345189716797664;0.9273701511075032;0.9309496823252768;0.9380780630646716;0.9380780630646716;0.9380780630646716;0.9380780630646716;0.9380780630646716;0.9380780630646716;0.9129487208621587;0.9345189716797664;0.9380780630646716;0.9129487208621587;0.9380780630646716;0.9380780630646716;0.9309496823252768;0.9345189716797664;0.9380780630646716;0.9380780630646716;0.9273701511075032;0.9056753946096224;0.9380780630646716;0.9380780630646716;0.9129487208621587;0.9380780630646716;0.9380780630646716;0.9380780630646716;0.9273701511075032;0.9380780630646716;0